indicator_id,country_id,year,value,magnitude,qualifier
CR.1.Q4.F.LPIA,BGD,2014,1.075989961624146,,
CR.1.Q4.F.LPIA,BGD,2019,1.1180100440979,,
CR.1.Q4.F.LPIA,BGD,2022,1.051800012588501,,
CR.1.Q4.GPIA,BGD,2006,1.106899976730347,,
CR.1.Q4.GPIA,BGD,2011,1.111320018768311,,
CR.1.Q4.GPIA,BGD,2014,1.064129948616028,,
CR.1.Q4.GPIA,BGD,2019,1.102779984474182,,
CR.1.Q4.GPIA,BGD,2022,1.07929003238678,,
CR.1.Q4.LPIA,BGD,2006,1.127550005912781,,
CR.1.Q4.LPIA,BGD,2011,1.131749987602234,,
CR.1.Q4.LPIA,BGD,2014,1.127969980239868,,
CR.1.Q4.LPIA,BGD,2019,1.147429943084717,,
CR.1.Q4.LPIA,BGD,2022,1.103670001029968,,
CR.1.Q4.M,BGD,2004,73.83,,
CR.1.Q4.M,BGD,2006,77.81230163574219,,
CR.1.Q4.M,BGD,2007,71.16,,
CR.1.Q4.M,BGD,2011,81.23951721191406,,
CR.1.Q4.M,BGD,2013,74.42,,
CR.1.Q4.M,BGD,2014,84.14398956298828,,
CR.1.Q4.M,BGD,2019,81.83074188232422,,
CR.1.Q4.M,BGD,2022,87.63082885742188,,
CR.1.Q4.M.LPIA,BGD,2006,1.133340001106262,,
CR.1.Q4.M.LPIA,BGD,2011,1.164340019226074,,
CR.1.Q4.M.LPIA,BGD,2014,1.190700054168701,,
CR.1.Q4.M.LPIA,BGD,2019,1.176429986953735,,
CR.1.Q4.M.LPIA,BGD,2022,1.161399960517883,,
CR.1.Q5,BGD,2004,79.66,,
CR.1.Q5,BGD,2006,85.74413299560547,,
CR.1.Q5,BGD,2007,81.25,,
CR.1.Q5,BGD,2011,87.67804718017578,,
CR.1.Q5,BGD,2013,87.59,,
CR.1.Q5,BGD,2014,89.33106994628906,,
CR.1.Q5,BGD,2019,91.53353881835938,,
CR.1.Q5,BGD,2022,93.42878723144531,,
CR.1.Q5.F,BGD,2004,81.08,,
CR.1.Q5.F,BGD,2006,86.05103302001953,,
CR.1.Q5.F,BGD,2007,81.47,,
CR.1.Q5.F,BGD,2011,88.82769012451172,,
CR.1.Q5.F,BGD,2013,88.57000000000001,,
CR.1.Q5.F,BGD,2014,91.39724731445313,,
CR.1.Q5.F,BGD,2019,95.05812835693359,,
CR.1.Q5.F,BGD,2022,95.17716979980469,,
CR.1.Q5.F.LPIA,BGD,2006,1.090700030326843,,
CR.1.Q5.F.LPIA,BGD,2011,1.064000010490417,,
